temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,wet_bulb_temperature_2m,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,visibility,sunshine_duration,wind_speed_10m,wind_speed_80m,wind_speed_100m,wind_speed_120m,wind_speed_180m,wind_direction_10m,wind_direction_80m,wind_direction_100m,wind_direction_120m,wind_direction_180m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,shortwave_radiation_instant,direct_radiation_instant,diffuse_radiation_instant,direct_normal_irradiance_instant,terrestrial_radiation,terrestrial_radiation_instant,boundary_layer_height,total_column_integrated_water_vapour,cape,freezing_level_height,lifted_index,convective_inhibition,uv_index,uv_index_clear_sky,is_day,global_tilted_irradiance,latitude,longitude,city,time,elevation,ndvi,ndwi,ndbi,savi,bsi,red,green,blue,nir,swir,albedo,cloud_cover_sat
10.7,87,8.6,9.2,9.3,0.0,0.0,0.0,0.0,0,1017.9,1003.1,0,0,0,0,0.0,0.17,,0.0,7.4,,8.7,,,43,,73,,,9.7,13.0,17.9,20.1,24.3,0.146,0.173,0.241,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.9,,,,,,,0,0.0,26.7829,80.8728,Lucknow,2000-01-01 00:00:00,122.15817,0.16945969,-0.18876049,0.0044543645,0.12275492,0.023504397,0.19876745,0.1900109,0.1771824,0.27847558,0.28067952,0.18791366,0.00056
11.3,83,8.5,10.0,9.5,0.0,0.0,0.0,0.0,0,1017.9,1004.0,0,0,0,0,0.0,0.23,,0.0,6.4,,7.4,,,47,,76,,,8.6,12.9,17.8,20.0,24.2,0.146,0.174,0.242,0.301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11.2,,,,,,,0,0.0,26.873,80.9233,Lucknow,2000-01-01 00:00:00,122.15817,0.16945969,-0.18876049,0.0044543645,0.12275492,0.023504397,0.19876745,0.1900109,0.1771824,0.27847558,0.28067952,0.18791366,0.00056
10.7,87,8.6,9.4,9.3,0.0,0.0,0.0,0.0,0,1017.9,1002.7,0,0,0,0,0.0,0.17,,0.0,6.4,,7.4,,,47,,76,,,8.6,13.0,17.9,20.1,24.3,0.146,0.173,0.241,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11.2,,,,,,,0,0.0,26.828,80.9233,Lucknow,2000-01-01 00:00:00,122.15817,0.16945969,-0.18876049,0.0044543645,0.12275492,0.023504397,0.19876745,0.1900109,0.1771824,0.27847558,0.28067952,0.18791366,0.00056
10.7,87,8.6,9.2,9.3,0.0,0.0,0.0,0.0,0,1017.9,1002.6,0,0,0,0,0.0,0.17,,0.0,7.4,,8.7,,,43,,73,,,9.7,13.0,17.9,20.1,24.3,0.146,0.173,0.241,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.9,,,,,,,0,0.0,26.828,80.8728,Lucknow,2000-01-01 00:00:00,122.15817,0.16945969,-0.18876049,0.0044543645,0.12275492,0.023504397,0.19876745,0.1900109,0.1771824,0.27847558,0.28067952,0.18791366,0.00056
10.7,87,8.6,9.4,9.3,0.0,0.0,0.0,0.0,0,1017.9,1003.4,0,0,0,0,0.0,0.17,,0.0,6.4,,7.4,,,47,,76,,,8.6,13.1,18.0,20.1,24.3,0.146,0.173,0.241,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11.2,,,,,,,0,0.0,26.7829,80.9233,Lucknow,2000-01-01 00:00:00,122.15817,0.16945969,-0.18876049,0.0044543645,0.12275492,0.023504397,0.19876745,0.1900109,0.1771824,0.27847558,0.28067952,0.18791366,0.00056
11.1,85,8.7,9.8,9.5,0.0,0.0,0.0,0.0,0,1017.9,1004.3,0,0,0,0,0.0,0.19,,0.0,6.4,,7.4,,,47,,76,,,8.6,13.0,17.8,20.0,24.2,0.147,0.175,0.244,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11.2,,,,,,,0,0.0,26.828,80.9737,Lucknow,2000-01-01 00:00:00,122.15817,0.16945969,-0.18876049,0.0044543645,0.12275492,0.023504397,0.19876745,0.1900109,0.1771824,0.27847558,0.28067952,0.18791366,0.00056
11.3,83,8.5,9.8,9.4,0.0,0.0,0.0,0.0,0,1017.9,1003.0,0,0,0,0,0.0,0.23,,0.0,7.4,,8.7,,,43,,73,,,9.7,12.8,17.7,19.9,24.1,0.146,0.174,0.242,0.301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.9,,,,,,,0,0.0,26.873,80.8728,Lucknow,2000-01-01 00:00:00,122.15817,0.16945969,-0.18876049,0.0044543645,0.12275492,0.023504397,0.19876745,0.1900109,0.1771824,0.27847558,0.28067952,0.18791366,0.00056
11.0,85,8.7,9.7,9.4,0.0,0.0,0.0,0.0,0,1017.9,1003.1,0,0,0,0,0.0,0.19,,0.0,6.4,,7.4,,,47,,76,,,8.6,13.0,17.8,20.0,24.2,0.147,0.175,0.244,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11.2,,,,,,,0,0.0,26.7829,80.9737,Lucknow,2000-01-01 00:00:00,122.15817,0.16945969,-0.18876049,0.0044543645,0.12275492,0.023504397,0.19876745,0.1900109,0.1771824,0.27847558,0.28067952,0.18791366,0.00056
11.9,81,8.7,10.6,9.8,0.0,0.0,0.0,0.0,0,1017.9,1004.1,0,0,0,0,0.0,0.27,,0.0,6.4,,7.4,,,47,,76,,,8.6,12.8,17.7,19.9,24.1,0.144,0.174,0.243,0.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11.2,,,,,,,0,0.0,26.873,80.9737,Lucknow,2000-01-01 00:00:00,122.15817,0.16945969,-0.18876049,0.0044543645,0.12275492,0.023504397,0.19876745,0.1900109,0.1771824,0.27847558,0.28067952,0.18791366,0.00056
10.3,87,8.3,9.0,8.9,0.0,0.0,0.0,0.0,0,1017.4,1002.2,0,0,0,0,0.0,0.16,,0.0,5.6,,6.4,,,40,,74,,,7.6,12.5,17.7,20.1,24.3,0.146,0.173,0.241,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.9,,,,,,,0,0.0,26.828,80.9233,Lucknow,2000-01-01 01:00:00,122.15817,0.16945969,-0.18876049,0.0044543645,0.12275492,0.023504397,0.19876745,0.1900109,0.1771824,0.27847558,0.28067952,0.18791366,0.00056
10.3,87,8.3,8.8,8.9,0.0,0.0,0.0,0.0,0,1017.4,1002.1,0,0,0,0,0.0,0.16,,0.0,6.9,,7.5,,,39,,73,,,8.6,12.5,17.7,20.1,24.3,0.146,0.173,0.241,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.7,,,,,,,0,0.0,26.828,80.8728,Lucknow,2000-01-01 01:00:00,122.15817,0.16945969,-0.18876049,0.0044543645,0.12275492,0.023504397,0.19876745,0.1900109,0.1771824,0.27847558,0.28067952,0.18791366,0.00056
10.6,85,8.2,9.3,9.0,0.0,0.0,0.0,0.0,0,1017.4,1003.4,0,0,0,0,0.0,0.19,,0.0,5.6,,6.4,,,40,,74,,,7.6,12.3,17.5,19.9,24.2,0.146,0.174,0.242,0.301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.9,,,,,,,0,0.0,26.873,80.9233,Lucknow,2000-01-01 01:00:00,122.15817,0.16945969,-0.18876049,0.0044543645,0.12275492,0.023504397,0.19876745,0.1900109,0.1771824,0.27847558,0.28067952,0.18791366,0.00056
10.3,87,8.3,8.9,9.0,0.0,0.0,0.0,0.0,0,1017.4,1002.6,0,0,0,0,0.0,0.16,,0.0,6.9,,7.5,,,39,,73,,,8.6,12.5,17.7,20.1,24.3,0.146,0.173,0.241,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.7,,,,,,,0,0.0,26.7829,80.8728,Lucknow,2000-01-01 01:00:00,122.15817,0.16945969,-0.18876049,0.0044543645,0.12275492,0.023504397,0.19876745,0.1900109,0.1771824,0.27847558,0.28067952,0.18791366,0.00056
10.6,85,8.2,9.1,9.0,0.0,0.0,0.0,0.0,0,1017.4,1002.5,0,0,0,0,0.0,0.19,,0.0,6.9,,7.5,,,39,,73,,,8.6,12.2,17.5,19.9,24.1,0.146,0.174,0.242,0.301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.7,,,,,,,0,0.0,26.873,80.8728,Lucknow,2000-01-01 01:00:00,122.15817,0.16945969,-0.18876049,0.0044543645,0.12275492,0.023504397,0.19876745,0.1900109,0.1771824,0.27847558,0.28067952,0.18791366,0.00056
10.4,87,8.3,9.1,9.0,0.0,0.0,0.0,0.0,0,1017.4,1002.9,0,0,0,0,0.0,0.16,,0.0,5.6,,6.4,,,40,,74,,,7.6,12.5,17.7,20.1,24.3,0.146,0.173,0.241,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.9,,,,,,,0,0.0,26.7829,80.9233,Lucknow,2000-01-01 01:00:00,122.15817,0.16945969,-0.18876049,0.0044543645,0.12275492,0.023504397,0.19876745,0.1900109,0.1771824,0.27847558,0.28067952,0.18791366,0.00056
